date,region,value,metric,pop,rate,rollraw,rollrate,roll_change,rank
2022-01-04,North West,29360,cases,7367456,398.5093361942033,24431,331.60700247140943,59.49507572931433,1
2022-01-06,North West,25971,cases,7367456,352.50974013282195,24135.714285714286,327.5990285617489,30.666130441844103,1
2022-01-05,North West,19756,cases,7367456,268.1522631421212,23847.285714285714,323.6841280665363,38.98639535077348,1
2022-01-03,North West,24183,cases,7367456,328.2408473155456,23120,313.81252904666144,69.43048576214404,1
2022-01-06,North East and Yorkshire,25696,cases,8207113,313.09426347608473,24359.571428571428,296.81047925831444,70.23950959935304,2
2022-01-02,North West,19375,cases,7367456,262.98087155186266,21661.428571428572,294.01503818181703,69.84598151778214,1
2022-01-05,North East and Yorkshire,25036,cases,8207113,305.05245876351404,23374.85714285714,284.81217625317385,81.59863266076222,2
2022-01-01,North West,27328,cases,7367456,370.9285810461576,20932.428571428572,284.1201708083302,79.04956253971358,1
2021-12-28,London,22981,cases,9002488,255.27387539977838,24768.428571428572,275.1287041030054,8.660691902732522,1
2022-01-04,North East and Yorkshire,24842,cases,8207113,302.6886555601221,22454.285714285714,273.5954252644714,101.2187315974089,2
2021-12-26,London,22348,cases,9002488,248.2424858550214,24487.85714285714,272.0121053519554,21.620950461892125,1
2021-12-23,London,26307,cases,9002488,292.21921762072884,24442.85714285714,271.5122435359774,78.83833474438973,1
2021-12-27,London,22224,cases,9002488,246.8650888509932,24412.714285714286,271.17741546241757,12.500246871317497,1
2021-12-24,London,26342,cases,9002488,292.60799903315615,24404.85714285714,271.0901380024849,52.13236800156732,1
2021-12-25,London,25378,cases,9002488,281.8998481308723,24380.14285714286,270.81561071942394,31.98125391510127,1
2021-12-29,London,22727,cases,9002488,252.45243314959154,24043.85714285714,267.080135434306,0.14399190789277524,1
2021-12-22,London,27799,cases,9002488,308.79241383048776,24009.285714285714,266.69611461060225,109.6566951922357,1
2022-01-01,London,27608,cases,9002488,306.6707781226701,23867.571428571428,265.1219466059986,-2.1024135567001356,2
2021-12-30,London,24320,cases,9002488,270.14754143521213,23760,263.927038836375,-2.7936879018117997,1
2021-12-31,North West,22977,cases,7367456,311.8715605495303,19392.428571428572,263.21743314691764,84.44637689036239,1
2021-12-31,London,24865,cases,9002488,276.2014234287233,23549,261.583242321456,-3.5069131437535788,2
2022-01-02,London,19951,cases,9002488,221.61651312392752,23525.14285714286,261.3182362158423,-3.931394568736679,2
2022-01-06,Midlands,30613,cases,10827512,282.73346637713263,28289,261.26962500711153,42.66067273264317,3
2022-01-05,Midlands,32347,cases,10827512,298.7482258158661,27984,258.45272672059843,52.80590355242835,3
2022-01-03,London,20080,cases,9002488,223.04945032973106,23218.85714285714,257.9160021413763,-4.890308913973406,2
2022-01-04,London,21527,cases,9002488,239.12278472351198,23011.14285714286,255.6087034733382,-7.0948615460926625,3
2022-01-05,London,22558,cases,9002488,250.57517432958534,22987,255.34052364190876,-4.395539104137076,4
2022-01-03,North East and Yorkshire,22175,cases,8207113,270.1924537897797,20924.285714285714,254.9530597944212,106.41788100002817,3
2021-12-21,London,20491,cases,9002488,227.6148549156633,22794.285714285714,253.1998455791967,135.14501296863946,1
2022-01-04,East of England,15163,cases,6269161,241.86649537314483,15780.285714285714,251.71288014912543,26.64029807967898,4
2022-01-06,London,21854,cases,9002488,242.75511391961868,22634.714285714286,251.4273197111097,-4.736050986050984,4
2021-12-30,North West,23952,cases,7367456,325.1054366663337,18471.285714285714,250.71457113942333,98.71670739391705,2
2022-01-03,East of England,15671,cases,6269161,249.9696530365068,15623.714285714286,249.2153939851646,31.648891349880827,4
2022-01-04,Midlands,26695,cases,10827512,246.54786806054798,26869.85714285714,248.16280178546228,60.433477200225184,5
2022-01-05,East of England,15142,cases,6269161,241.53152232013184,15515.57142857143,247.4903966985603,18.473067609136734,5
2022-01-06,East of England,14245,cases,6269161,227.22338762714818,15151.714285714286,241.6864758412535,11.205242463958063,5
2022-01-02,North East and Yorkshire,21772,cases,8207113,265.28207909407365,19815.285714285714,241.4403909667835,118.77730635163483,3
2021-12-20,London,22750,cases,9002488,252.70791807775805,21700.14285714286,241.04606256784632,148.97313599187032,1
2022-01-02,East of England,12556,cases,6269161,200.2819835062459,15056.142857142857,240.1620066408066,31.115175039187882,4
2022-01-03,Midlands,27791,cases,10827512,256.67023042782125,25904.714285714286,239.24900093127846,64.72389015560987,5
2022-01-01,East of England,16169,cases,6269161,257.91329972224355,14916.857142857143,237.94024659531223,34.30313319956783,3
2021-12-29,North West,23842,cases,7367456,323.61238397623276,17158,232.88907324319277,106.74068336345641,2
2021-12-31,East of England,17116,cases,6269161,273.01898930335335,14498.57142857143,231.26813027407383,36.22270244151244,3
2021-12-19,London,21594,cases,9002488,239.86702342730143,20134.571428571428,223.6556319605361,153.70727053444458,1
2022-01-02,Midlands,20961,cases,10827512,193.59018027410175,24065.14285714286,222.259212062225,59.66182659134852,5
2022-01-01,North East and Yorkshire,25308,cases,8207113,308.36665706930074,18145.428571428572,221.09392878383142,115.67222467483957,4
2022-01-05,South East,20807,cases,9217265,225.73941402357423,20359,220.87897006324542,19.640188720428494,6
2022-01-04,South East,18532,cases,9217265,201.05747203752958,20222.14285714286,219.3941788279154,22.083847208686574,6
2022-01-06,South East,19946,cases,9217265,216.39824828731733,20200.14285714286,219.1554963120064,14.440991275352467,6
2021-12-30,East of England,16792,cases,6269161,267.85083362829573,13625,217.3337070143836,28.857274102896664,3
