areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesBySpecimenDate
E12000001,North East,region,2022-01-09,630526,10167,
E12000001,North East,region,2022-01-08,620359,7207,1617
E12000001,North East,region,2022-01-07,613152,10162,5105
E12000001,North East,region,2022-01-06,602990,9997,7382
E12000001,North East,region,2022-01-05,592993,9909,10017
E12000001,North East,region,2022-01-04,583084,10252,14012
E12000001,North East,region,2022-01-03,572832,7311,11397
E12000001,North East,region,2022-01-02,565521,7474,8092
E12000001,North East,region,2022-01-01,558047,10935,5411
E12000001,North East,region,2021-12-31,547112,6991,8324
E12000001,North East,region,2021-12-30,540121,6250,9264
E12000001,North East,region,2021-12-29,533871,5247,9613
E12000001,North East,region,2021-12-28,528624,4339,6914
E12000001,North East,region,2021-12-27,524285,3190,5479
E12000001,North East,region,2021-12-26,521095,3505,3642
E12000001,North East,region,2021-12-25,517590,3356,1977
E12000001,North East,region,2021-12-24,514234,2942,3652
E12000001,North East,region,2021-12-23,511292,2795,3979
E12000001,North East,region,2021-12-22,508497,2276,3706
E12000001,North East,region,2021-12-21,506221,2322,2968
E12000001,North East,region,2021-12-20,503899,1702,2626
E12000001,North East,region,2021-12-19,502197,1502,1722
E12000001,North East,region,2021-12-18,500695,1503,1603
E12000001,North East,region,2021-12-17,499192,2513,1709
E12000001,North East,region,2021-12-16,496679,1754,1856
E12000001,North East,region,2021-12-15,494925,1760,2056
E12000001,North East,region,2021-12-14,493165,1391,1955
E12000001,North East,region,2021-12-13,491774,1358,1978
E12000001,North East,region,2021-12-12,490416,1212,1350
E12000001,North East,region,2021-12-11,489204,1688,1206
E12000001,North East,region,2021-12-10,487516,2042,1321
E12000001,North East,region,2021-12-09,485474,1496,1579
E12000001,North East,region,2021-12-08,483978,1440,1700
E12000001,North East,region,2021-12-07,482538,1413,1482
E12000001,North East,region,2021-12-06,481125,1038,1721
E12000001,North East,region,2021-12-05,480087,1437,1217
